PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;YANG ADA;YANG LAPOR;PERSENTASE LAPOR;MATERI PBKR;MATERI KESPRO;MATERI LAINNYA;JUMLAH PERTEMUAN PENYULUHAN;TATAP MUKA;VIRTUAL;JUMLAH KELUARGA ANGGOTA BKR;JUMLAH KELUARGA ANGGOTA BKR HADIR PERTEMUAN;STATUS PUS;STATUS BER-KB;JUMLAH KELUARGA ANGGOTA BKR HADIR PERTEMUAN MATERI PKBR;BULAN
SULAWESI BARAT;MAMASA;TAWALIAN;2003;KARIANGO;1;1;100.00;1;0;0;1;1;0;105;105;57;53;105;JANUARI
SULAWESI BARAT;MAMASA;TAWALIAN;2004;RANTETANGNGA;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;DURIPOKU;2001;TAMMARUNANG;1;1;100.00;1;1;0;1;1;0;193;75;53;34;75;JANUARI
SULAWESI BARAT;PASANGKAYU;DURIPOKU;2002;SAPTANAJAYA;1;1;100.00;1;1;0;1;1;0;110;105;71;59;105;JANUARI
SULAWESI BARAT;PASANGKAYU;DURIPOKU;2003;TARANGGI;1;1;100.00;1;1;0;1;1;0;104;71;56;43;71;JANUARI
SULAWESI BARAT;PASANGKAYU;DURIPOKU;2004;SIPAKAINGA;1;1;100.00;1;1;0;1;1;0;60;56;48;31;56;JANUARI
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;2001;MAHAHE;1;1;100.00;1;1;0;1;1;0;310;64;42;31;64;JANUARI
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;2002;SALOBAJA;1;1;100.00;1;0;0;1;1;0;300;86;58;51;86;JANUARI
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;2003;TOBADAK;1;1;100.00;1;1;0;1;1;0;475;101;83;71;101;JANUARI
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;2004;PALONGAAN;1;1;100.00;1;1;0;1;1;0;118;138;91;61;138;JANUARI
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;2005;BATU PARIGI;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;2006;BAMBADARU;1;1;100.00;1;1;0;1;1;0;191;89;61;53;89;JANUARI
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;2007;SEJATI;1;1;100.00;0;1;0;1;1;0;104;48;32;30;0;JANUARI
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;2008;SALOADAK;1;1;100.00;1;0;0;1;1;0;185;43;25;20;43;JANUARI
SULAWESI BARAT;PASANGKAYU;LARIANG;2001;PARABU;1;1;100.00;1;0;0;1;1;0;111;84;58;48;84;JANUARI
SULAWESI BARAT;PASANGKAYU;LARIANG;2002;KENANGAN;1;1;100.00;1;0;0;1;1;0;50;14;8;4;14;JANUARI
SULAWESI BARAT;PASANGKAYU;LARIANG;2003;BAJAWALI;1;1;100.00;1;0;0;1;1;0;95;10;6;6;10;JANUARI
