PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;YANG ADA;YANG LAPOR;PERSENTASE LAPOR;MATERI DIMENSI LANSIA TANGGUH;MATERI PEDOMAN PJP;MATERI PRA LANSIA;MATERI KELANJUT-USIAAN LAINNYA;MATERI KB DAN KESPRO;MATERI LAINNYA;JUMLAH PERTEMUAN PENYULUHAN;TATAP MUKA;VIRTUAL;JUMLAH ANGGOTA BKL;JUMLAH ANGGOTA KELUARGA HADIR;JUMLAH ANGGOTA LANSIA HADIR;STATUS PUS;STATUS BER-KB;BULAN
SULAWESI BARAT;PASANGKAYU;DURIPOKU;2001;TAMMARUNANG;1;1;100.00;1;1;1;0;1;0;1;1;0;48;37;40;9;5;JANUARI
SULAWESI BARAT;PASANGKAYU;DURIPOKU;2002;SAPTANAJAYA;1;1;100.00;1;1;0;0;0;0;1;1;0;58;43;0;6;3;JANUARI
SULAWESI BARAT;PASANGKAYU;DURIPOKU;2003;TARANGGI;1;1;100.00;1;1;1;0;1;0;1;1;0;20;18;25;10;7;JANUARI
SULAWESI BARAT;PASANGKAYU;DURIPOKU;2004;SIPAKAINGA;1;1;100.00;1;1;0;0;1;0;1;1;0;20;19;0;2;2;JANUARI
SULAWESI BARAT;PASANGKAYU;DAPURANG;2001;DAPURANG;1;1;100.00;0;1;1;0;0;0;1;1;0;128;40;11;8;6;JANUARI
SULAWESI BARAT;PASANGKAYU;DAPURANG;2002;BENGGAULU;1;1;100.00;1;0;0;0;0;0;1;1;0;119;40;3;19;12;JANUARI
SULAWESI BARAT;PASANGKAYU;DAPURANG;2003;TIRTABUANA;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;DAPURANG;2004;BULU BONGGU;1;1;100.00;1;0;0;0;0;0;1;1;0;59;25;9;9;6;JANUARI
SULAWESI BARAT;PASANGKAYU;DAPURANG;2005;SARASA;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMUJU;MAMUJU;1002;BINANGA;1;1;100.00;1;0;0;0;1;0;1;1;0;245;42;48;5;5;JANUARI
SULAWESI BARAT;MAMUJU;MAMUJU;1003;MAMUNYU;1;1;100.00;0;1;0;0;1;0;1;1;0;123;43;45;7;5;JANUARI
SULAWESI BARAT;MAMUJU;MAMUJU;1012;KAREMA;1;1;100.00;1;0;0;1;1;1;1;1;0;182;44;42;3;2;JANUARI
SULAWESI BARAT;MAMUJU;MAMUJU;1013;RIMUKU;1;1;100.00;0;1;0;0;1;0;1;1;0;105;37;25;11;10;JANUARI
SULAWESI BARAT;MAMUJU;MAMUJU;2005;BAMBU;1;1;100.00;1;1;0;0;1;0;1;1;0;67;41;49;8;4;JANUARI
SULAWESI BARAT;MAMUJU;MAMUJU;2006;KARAMPUANG;1;1;100.00;0;0;0;0;1;0;1;1;0;89;37;11;21;21;JANUARI
SULAWESI BARAT;MAMUJU;MAMUJU;2010;TADUI;1;1;100.00;1;1;0;1;1;1;1;1;0;102;50;52;5;5;JANUARI
SULAWESI BARAT;MAMUJU;MAMUJU;2014;BATU PANNU;1;1;100.00;1;0;0;0;1;0;1;1;0;47;40;43;9;6;JANUARI
SULAWESI BARAT;MAMUJU;TAPALANG;1001;GALUNG;1;1;100.00;1;0;0;0;0;0;1;1;0;125;28;35;5;4;JANUARI
SULAWESI BARAT;MAMUJU;TAPALANG;1002;KASAMBANG;1;1;100.00;0;1;0;0;0;0;1;1;0;96;17;17;3;1;JANUARI
SULAWESI BARAT;MAMUJU;TAPALANG;1014;DAYANGINNA;1;1;100.00;1;0;0;0;0;0;1;1;0;61;26;29;4;0;JANUARI
SULAWESI BARAT;MAMUJU;TAPALANG;2003;OROBATU;1;1;100.00;1;0;0;0;0;0;1;1;0;27;27;43;3;2;JANUARI
SULAWESI BARAT;MAMUJU;TAPALANG;2006;TAKANDEANG;1;1;100.00;1;0;0;0;0;0;1;1;0;66;31;34;3;3;JANUARI
SULAWESI BARAT;MAMUJU;TAPALANG;2009;BELA;1;1;100.00;1;0;0;0;0;0;1;1;0;20;20;20;4;4;JANUARI
SULAWESI BARAT;MAMUJU;TAPALANG;2010;TAAN;1;1;100.00;2;0;0;0;0;0;2;2;0;69;30;33;8;5;JANUARI
SULAWESI BARAT;MAMUJU;TAPALANG;2011;TAMPALANG;1;1;100.00;1;0;0;0;0;0;1;1;0;96;28;36;1;1;JANUARI
SULAWESI BARAT;MAMUJU;TAPALANG;2012;RANTEDODA;1;1;100.00;1;0;0;0;0;0;1;1;0;27;27;32;14;11;JANUARI
SULAWESI BARAT;MAMUJU;TAPALANG;2013;KOPEANG;1;1;100.00;0;1;0;0;0;0;1;1;0;24;24;18;4;3;JANUARI
SULAWESI BARAT;MAMUJU;BONEHAU;2001;BONEHAU;1;1;100.00;1;0;0;0;0;0;1;1;0;35;33;0;3;0;JANUARI
SULAWESI BARAT;MAMUJU;BONEHAU;2002;SALUTIWO;1;1;100.00;1;0;0;0;1;0;1;1;0;31;30;31;5;1;JANUARI
SULAWESI BARAT;MAMUJU;BONEHAU;2003;BUTTUADA;1;1;100.00;1;0;0;0;0;0;1;1;0;45;20;20;3;2;JANUARI
SULAWESI BARAT;MAMUJU;BONEHAU;2004;TAMALEA;1;1;100.00;1;0;0;0;0;0;1;1;0;21;14;0;4;4;JANUARI
SULAWESI BARAT;MAMUJU;BONEHAU;2005;LUMIKA;1;1;100.00;1;0;0;0;1;0;1;1;0;40;40;33;5;2;JANUARI
SULAWESI BARAT;MAMUJU;BONEHAU;2006;MAPPU;1;1;100.00;1;0;0;0;0;0;1;1;0;30;9;0;3;3;JANUARI
SULAWESI BARAT;MAMUJU;BONEHAU;2009;BANUADA;1;1;100.00;1;0;0;0;0;0;1;1;0;25;18;8;4;4;JANUARI
SULAWESI BARAT;MAMUJU;BONEHAU;2010;HINUA;1;1;100.00;1;0;0;0;0;0;1;1;0;51;27;21;3;2;JANUARI
SULAWESI BARAT;MAMUJU;BONEHAU;2011;KINATANG;1;1;100.00;1;0;0;0;0;0;1;1;0;32;21;14;2;2;JANUARI
