;PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;SIDAYA;BULAN
163;SULAWESI BARAT;MAMASA;MEHALAAN;MEHALAAN BARAT;0;SEPTEMBER
164;SULAWESI BARAT;MAMASA;MEHALAAN;MESAKADA;0;SEPTEMBER
165;SULAWESI BARAT;MAMASA;MEHALAAN;PASSEMBUK;0;SEPTEMBER
166;SULAWESI BARAT;MAMASA;MEHALAAN;SALUAHOK;0;SEPTEMBER
167;SULAWESI BARAT;MAMASA;MEHALAAN;SALUBALO;0;SEPTEMBER
168;SULAWESI BARAT;MAMASA;MEHALAAN;SALUKONTA;0;SEPTEMBER
169;SULAWESI BARAT;MAMASA;MEHALAAN;ULUMEA;0;SEPTEMBER
170;SULAWESI BARAT;MAMASA;MESSAWA;MAKUANG;0;SEPTEMBER
171;SULAWESI BARAT;MAMASA;MESSAWA;MALIMBONG;0;SEPTEMBER
172;SULAWESI BARAT;MAMASA;MESSAWA;MATANDE;0;SEPTEMBER
173;SULAWESI BARAT;MAMASA;MESSAWA;MESSAWA;0;SEPTEMBER
174;SULAWESI BARAT;MAMASA;MESSAWA;PASMA MAMBU;0;SEPTEMBER
175;SULAWESI BARAT;MAMASA;MESSAWA;RIPPUNG;0;SEPTEMBER
176;SULAWESI BARAT;MAMASA;MESSAWA;SEPANG;0;SEPTEMBER
177;SULAWESI BARAT;MAMASA;MESSAWA;SIPAI;0;SEPTEMBER
178;SULAWESI BARAT;MAMASA;MESSAWA;TANETE BATU;0;SEPTEMBER
179;SULAWESI BARAT;MAMASA;NOSU;BATUPAPAN;0;SEPTEMBER
180;SULAWESI BARAT;MAMASA;NOSU;MASEWWE;0;SEPTEMBER
181;SULAWESI BARAT;MAMASA;NOSU;MINANGA;0;SEPTEMBER
182;SULAWESI BARAT;MAMASA;NOSU;MINANGA TIMUR;0;SEPTEMBER
183;SULAWESI BARAT;MAMASA;NOSU;NOSU;0;SEPTEMBER
184;SULAWESI BARAT;MAMASA;NOSU;PARINDING;0;SEPTEMBER
185;SULAWESI BARAT;MAMASA;NOSU;SIWI;0;SEPTEMBER
186;SULAWESI BARAT;MAMASA;PANA;DATUBARINGAN;0;SEPTEMBER
187;SULAWESI BARAT;MAMASA;PANA;KARAKA;0;SEPTEMBER
188;SULAWESI BARAT;MAMASA;PANA;MAMULLU;0;SEPTEMBER
189;SULAWESI BARAT;MAMASA;PANA;MANIPI;0;SEPTEMBER
190;SULAWESI BARAT;MAMASA;PANA;PANA;0;SEPTEMBER
191;SULAWESI BARAT;MAMASA;PANA;PANURA;0;SEPTEMBER
192;SULAWESI BARAT;MAMASA;PANA;SALOAN;0;SEPTEMBER
193;SULAWESI BARAT;MAMASA;PANA;SALUTAMBUN;0;SEPTEMBER
194;SULAWESI BARAT;MAMASA;PANA;SAPAN;0;SEPTEMBER
195;SULAWESI BARAT;MAMASA;PANA;TALLANG BULAWAN;0;SEPTEMBER
196;SULAWESI BARAT;MAMASA;PANA;ULUSALU;0;SEPTEMBER
197;SULAWESI BARAT;MAMASA;PANA;ULUSALU INDAH;0;SEPTEMBER
198;SULAWESI BARAT;MAMASA;PANA;WERI;0;SEPTEMBER
199;SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;BAMBANG BUDA;0;SEPTEMBER
200;SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;BUANGIN;0;SEPTEMBER
201;SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;KIRAK;0;SEPTEMBER
202;SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;LEKO;0;SEPTEMBER
203;SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;SALUMOKANAN;6;SEPTEMBER
204;SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;SALUMOKANAN BARAT;0;SEPTEMBER
205;SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;SALUMOKANAN UTARA;0;SEPTEMBER
206;SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;SAMPALE;0;SEPTEMBER
207;SULAWESI BARAT;MAMASA;SESENAPADANG;LISUAN ADA;0;SEPTEMBER
208;SULAWESI BARAT;MAMASA;SESENAPADANG;MALANGKENA PADANG;0;SEPTEMBER
209;SULAWESI BARAT;MAMASA;SESENAPADANG;MALIMBONG;0;SEPTEMBER
210;SULAWESI BARAT;MAMASA;SESENAPADANG;MARAMPAN OROBUA;0;SEPTEMBER
211;SULAWESI BARAT;MAMASA;SESENAPADANG;OROBUA;0;SEPTEMBER
212;SULAWESI BARAT;MAMASA;SESENAPADANG;OROBUA SELATAN;0;SEPTEMBER
213;SULAWESI BARAT;MAMASA;SESENAPADANG;OROBUA TIMUR;0;SEPTEMBER
214;SULAWESI BARAT;MAMASA;SESENAPADANG;PALADAN;0;SEPTEMBER
215;SULAWESI BARAT;MAMASA;SESENAPADANG;RANTE PUANG;0;SEPTEMBER
216;SULAWESI BARAT;MAMASA;SESENAPADANG;SATENETEAN;0;SEPTEMBER
217;SULAWESI BARAT;MAMASA;SUMARORONG;BANEA;0;SEPTEMBER
218;SULAWESI BARAT;MAMASA;SUMARORONG;BATANG URU;0;SEPTEMBER
219;SULAWESI BARAT;MAMASA;SUMARORONG;BATANGNGURU TIMUR;0;SEPTEMBER
220;SULAWESI BARAT;MAMASA;SUMARORONG;RANTE KAMASE;0;SEPTEMBER
221;SULAWESI BARAT;MAMASA;SUMARORONG;SALUBALO;0;SEPTEMBER
222;SULAWESI BARAT;MAMASA;SUMARORONG;SASAKAN;0;SEPTEMBER
223;SULAWESI BARAT;MAMASA;SUMARORONG;SIBANAWA;0;SEPTEMBER
224;SULAWESI BARAT;MAMASA;SUMARORONG;SUMARORONG;0;SEPTEMBER
225;SULAWESI BARAT;MAMASA;SUMARORONG;TABONE;0;SEPTEMBER
226;SULAWESI BARAT;MAMASA;SUMARORONG;TADISI;0;SEPTEMBER
227;SULAWESI BARAT;MAMASA;TABANG;BAKADISURA;0;SEPTEMBER
228;SULAWESI BARAT;MAMASA;TABANG;KALAMA;0;SEPTEMBER
229;SULAWESI BARAT;MAMASA;TABANG;MASUPU;0;SEPTEMBER
230;SULAWESI BARAT;MAMASA;TABANG;SALUKONA;0;SEPTEMBER
231;SULAWESI BARAT;MAMASA;TABANG;TABANG;0;SEPTEMBER
232;SULAWESI BARAT;MAMASA;TABANG;TABANG BARAT;0;SEPTEMBER
233;SULAWESI BARAT;MAMASA;TABANG;TADOKALUA;0;SEPTEMBER
234;SULAWESI BARAT;MAMASA;TABULAHAN;BURANA;0;SEPTEMBER
235;SULAWESI BARAT;MAMASA;TABULAHAN;GANDANG DEWATA;0;SEPTEMBER
236;SULAWESI BARAT;MAMASA;TABULAHAN;LAKAHANG;0;SEPTEMBER
237;SULAWESI BARAT;MAMASA;TABULAHAN;LAKAHANG UTAMA;0;SEPTEMBER
238;SULAWESI BARAT;MAMASA;TABULAHAN;MALATIRO;0;SEPTEMBER
239;SULAWESI BARAT;MAMASA;TABULAHAN;PANGANDARAN;0;SEPTEMBER
240;SULAWESI BARAT;MAMASA;TABULAHAN;PERIANGAN;0;SEPTEMBER
241;SULAWESI BARAT;MAMASA;TABULAHAN;PEU';0;SEPTEMBER
242;SULAWESI BARAT;MAMASA;TABULAHAN;SALUBAKKA;0;SEPTEMBER
243;SULAWESI BARAT;MAMASA;TABULAHAN;SALULEANG;0;SEPTEMBER
244;SULAWESI BARAT;MAMASA;TABULAHAN;TABULAHAN;0;SEPTEMBER
245;SULAWESI BARAT;MAMASA;TABULAHAN;TALOPAK;0;SEPTEMBER
246;SULAWESI BARAT;MAMASA;TABULAHAN;TAMPAK KURRA;0;SEPTEMBER
247;SULAWESI BARAT;MAMASA;TABULAHAN;TIMORO;0;SEPTEMBER
248;SULAWESI BARAT;MAMASA;TANDUK KALUA;BALLABATU;0;SEPTEMBER
249;SULAWESI BARAT;MAMASA;TANDUK KALUA;KANAN;0;SEPTEMBER
250;SULAWESI BARAT;MAMASA;TANDUK KALUA;MALABO;0;SEPTEMBER
251;SULAWESI BARAT;MAMASA;TANDUK KALUA;MANNABABA;0;SEPTEMBER
252;SULAWESI BARAT;MAMASA;TANDUK KALUA;MESAKADA;0;SEPTEMBER
253;SULAWESI BARAT;MAMASA;TANDUK KALUA;MINAKE;0;SEPTEMBER
254;SULAWESI BARAT;MAMASA;TANDUK KALUA;PAMBE;0;SEPTEMBER
255;SULAWESI BARAT;MAMASA;TANDUK KALUA;PARONDOBULAWAN;0;SEPTEMBER
256;SULAWESI BARAT;MAMASA;TANDUK KALUA;SALURANO;0;SEPTEMBER
257;SULAWESI BARAT;MAMASA;TANDUK KALUA;SINDAGAMANIK;0;SEPTEMBER
258;SULAWESI BARAT;MAMASA;TANDUK KALUA;TALIMBUNG;0;SEPTEMBER
259;SULAWESI BARAT;MAMASA;TANDUK KALUA;TAMALANTIK;0;SEPTEMBER
260;SULAWESI BARAT;MAMASA;TAWALIAN;KARIANGO;0;SEPTEMBER
261;SULAWESI BARAT;MAMASA;TAWALIAN;RANTETANGNGA;7;SEPTEMBER
262;SULAWESI BARAT;MAMASA;TAWALIAN;TAWALIAN;0;SEPTEMBER
263;SULAWESI BARAT;MAMASA;TAWALIAN;TAWALIAN TIMUR;0;SEPTEMBER
264;SULAWESI BARAT;MAMUJU;BONEHAU;BANUADA;0;SEPTEMBER
265;SULAWESI BARAT;MAMUJU;BONEHAU;BONEHAU;0;SEPTEMBER
266;SULAWESI BARAT;MAMUJU;BONEHAU;BUTTUADA;0;SEPTEMBER
267;SULAWESI BARAT;MAMUJU;BONEHAU;HINUA;6;SEPTEMBER
268;SULAWESI BARAT;MAMUJU;BONEHAU;KINATANG;3;SEPTEMBER
269;SULAWESI BARAT;MAMUJU;BONEHAU;LUMIKA;0;SEPTEMBER
270;SULAWESI BARAT;MAMUJU;BONEHAU;MAPPU;0;SEPTEMBER
271;SULAWESI BARAT;MAMUJU;BONEHAU;SALUTIWO;1;SEPTEMBER
272;SULAWESI BARAT;MAMUJU;BONEHAU;TAMALEA;0;SEPTEMBER
273;SULAWESI BARAT;MAMUJU;KALUKKU;BEBANGA;0;SEPTEMBER
274;SULAWESI BARAT;MAMUJU;KALUKKU;BELANG BELANG;11;SEPTEMBER
275;SULAWESI BARAT;MAMUJU;KALUKKU;BERU-BERU;0;SEPTEMBER
276;SULAWESI BARAT;MAMUJU;KALUKKU;GULILING;0;SEPTEMBER
277;SULAWESI BARAT;MAMUJU;KALUKKU;KABULOANG;4;SEPTEMBER
278;SULAWESI BARAT;MAMUJU;KALUKKU;KALUKKU;0;SEPTEMBER
279;SULAWESI BARAT;MAMUJU;KALUKKU;KALUKKU BARAT;0;SEPTEMBER
280;SULAWESI BARAT;MAMUJU;KALUKKU;KEANG;0;SEPTEMBER
281;SULAWESI BARAT;MAMUJU;KALUKKU;PAMMULUKANG;4;SEPTEMBER
282;SULAWESI BARAT;MAMUJU;KALUKKU;POKKANG;0;SEPTEMBER
283;SULAWESI BARAT;MAMUJU;KALUKKU;SINYONYOI;0;SEPTEMBER
284;SULAWESI BARAT;MAMUJU;KALUKKU;SINYONYOI SELATAN;0;SEPTEMBER
285;SULAWESI BARAT;MAMUJU;KALUKKU;SONDOANG;0;SEPTEMBER
286;SULAWESI BARAT;MAMUJU;KALUKKU;UHAIMATE;0;SEPTEMBER
287;SULAWESI BARAT;MAMUJU;KALUMPANG;BATU MAKKADA;0;SEPTEMBER
288;SULAWESI BARAT;MAMUJU;KALUMPANG;KALUMPANG;0;SEPTEMBER
289;SULAWESI BARAT;MAMUJU;KALUMPANG;KARAMA;0;SEPTEMBER
290;SULAWESI BARAT;MAMUJU;KALUMPANG;KARATAUN;0;SEPTEMBER
291;SULAWESI BARAT;MAMUJU;KALUMPANG;KONDO BULO;0;SEPTEMBER
292;SULAWESI BARAT;MAMUJU;KALUMPANG;LASA';0;SEPTEMBER
293;SULAWESI BARAT;MAMUJU;KALUMPANG;LIMBONG;0;SEPTEMBER
294;SULAWESI BARAT;MAMUJU;KALUMPANG;MAKKALIKI;0;SEPTEMBER
295;SULAWESI BARAT;MAMUJU;KALUMPANG;POLIO;0;SEPTEMBER
296;SULAWESI BARAT;MAMUJU;KALUMPANG;SALUMAKKI;0;SEPTEMBER
297;SULAWESI BARAT;MAMUJU;KALUMPANG;SANDAPANG;0;SEPTEMBER
298;SULAWESI BARAT;MAMUJU;KALUMPANG;SIRAUN;0;SEPTEMBER
299;SULAWESI BARAT;MAMUJU;KALUMPANG;TUMOGA;0;SEPTEMBER
300;SULAWESI BARAT;MAMUJU;KEP. BALA BALAKANG;BALA BALAKANG;0;SEPTEMBER
