PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;JUMLAH SASARAN;JUMLAH DITIMBANG;BULAN
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;POLEWALI;337;326;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;PANGIANG;192;182;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;KALOLA;380;342;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;WULAI;214;192;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BARAS;BARAS;168;71;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BARAS;BULU PARIGI;188;152;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BARAS;BALANTI;192;153;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BARAS;MOTU;464;368;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BARAS;TOWONI;103;85;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BARAS;KASANO;366;249;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BULU TABA;SUMBER SARI;23;21;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BULU TABA;LELEJAE;105;55;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BULU TABA;BUKIT HARAPAN;113;97;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BULU TABA;LILIMORI;281;133;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BULU TABA;KARAVE;208;133;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BULU TABA;KASTABUANA;129;80;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BULU TABA;OMPI;66;52;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DAPURANG;DAPURANG;439;428;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DAPURANG;BENGGAULU;314;310;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DAPURANG;TIRTABUANA;90;88;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DAPURANG;BULU BONGGU;182;181;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DAPURANG;SARASA;208;207;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DURIPOKU;TAMMARUNANG;217;193;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DURIPOKU;SAPTANAJAYA;124;65;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DURIPOKU;TARANGGI;71;54;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DURIPOKU;SIPAKAINGA;58;43;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;LARIANG;KULU;73;48;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;LARIANG;PARABU;80;68;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;LARIANG;KENANGAN;31;24;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;LARIANG;BAJAWALI;63;48;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;LARIANG;SINGGANI;126;79;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;LARIANG;BATU MATORU;88;61;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;LARIANG;BAMBAKORO;127;80;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;KARYA BERSAMA;279;261;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;AKO;272;241;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;PASANGKAYU;1027;763;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;MARTAJAYA;124;95;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;PAKAVA;172;130;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;GUNUNG SARI;332;278;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PEDONGGA;MALEI;144;110;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PEDONGGA;PEDANDA;94;77;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PEDONGGA;BATU OGE;83;56;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PEDONGGA;MARTASARI;327;289;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARJO;SARJO;199;198;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARJO;MAPONU;119;119;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARJO;LETAWA;203;202;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARJO;SARUDE;169;167;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARUDU;DODA;202;144;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARUDU;SARUDU;516;397;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARUDU;BULU MARIO;337;296;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARUDU;KUMASARI;178;177;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARUDU;PATIKA;50;42;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;MAKMUR JAYA;327;303;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;LARIANG;310;238;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;TIKKE;240;192;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;PAJALELE;234;175;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;JENGENG RAYA;231;119;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;BANGGAE;332;95;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;BARU;446;309;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;PANGALI ALI;808;401;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;TOTOLI;461;285;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;RANGAS;899;415;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;GALUNG;268;166;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;PALIPI SOREANG;228;207;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;PAMBOBORANG;256;192;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BAURUNG;514;464;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BARUGA;154;94;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BARUGA DHUA;140;116;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;LABUANG;260;219;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;TANDE;91;87;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;LEMBANG;412;275;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;LABUANG UTARA;388;192;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;TANDE TIMUR;124;97;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BUTTU BARUGA;97;97;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;MALUNDA;;;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;LAMUNGANG BATU;;;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;BAMBANGAN;;;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;LOMBANG;121;105;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;LOMBONG;;;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;MEKKATTA;;;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;MALIAYA;;;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;LOMBANG TIMUR;101;83;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;SALUTAHONGAN;;;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;LOMBONG TIMUR;100;92;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;MEKKATTA SELATAN;;;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;KAYUANGIN;;;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;LALAMPANUA;123;66;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;SIRINDU;124;99;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;ADOLANG;81;81;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BABABULO;;;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BONDE;255;223;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BETTENG;125;112;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;SIMBANG;;;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BONDE UTARA;390;352;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BABABULO UTARA;107;107;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BUTTU PAMBOANG;103;78;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BANUA ADOLANG;139;139;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;ADOLANG DHUA;90;;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;TINAMBUNG;198;175;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;PESULOANG;108;80;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BALOMBONG;132;110;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;MOSSO;382;;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;MOSSO DHUA;;;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;TOTOLISI SENDANA;105;87;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;TALLUBANUA;289;195;SEPTEMBER
