;PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;JUMLAH BUMIL;BUMIL TERDAMPINGI;BUMIL TIDAK TERDAMPINGI;JUMLAH BUMIL >=32 MINGGU;BUMIL >=32 MINGGU MENDAPAT INFORMASI KONTRASEPSI;BUMIL >=32 MINGGU TIDAK MENDAPAT INFORMASI KONTRASEPSI;BUMIL >=32 MINGGU AKAN KBPP;BUMIL >=32 MINGGU MEMUTUSKAN TIDAK KBPP;MENDAPATKAN TTD;TIDAK MENDAPATKAN TTD;MENGKOMSUMSI TTD;TIDAK MENGKOMSUMSI TTD;KIE PERSEORANGAN;KIE KELOMPOK;KIE PERSEORANGAN DAN KELOMPOK;TIDAK MENDAPAT KIE;MENDAPAT FASILITASI RUJUKAN;TIDAK MENDAPAT FASILITASI RUJUKAN;MENDAPAT FASILITASI BANSOS;TIDAK MENDAPAT FASILITASI BANSOS
146;SULAWESI BARAT;MAMUJU;TOMMO;TAMEJARRA;27;10;17;3;1;0;0;1;10;0;10;0;3;0;7;0;3;7;1;9
147;SULAWESI BARAT;MAMUJU;TOMMO;RANTEMARIO;17;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;SULAWESI BARAT;MAMUJU;TOMMO;MALINO;9;5;4;2;2;0;1;1;5;0;5;0;5;0;0;0;5;0;2;3
149;SULAWESI BARAT;MAMUJU;TOMMO;KAKULLASANG;13;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150;SULAWESI BARAT;MAMUJU;TOMMO;LELING;16;14;2;9;3;7;9;1;14;0;14;0;14;0;0;0;3;11;12;2
151;SULAWESI BARAT;MAMUJU;TOMMO;KALEPU;11;1;10;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1
152;SULAWESI BARAT;MAMUJU;TOMMO;SANDANA;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
153;SULAWESI BARAT;MAMUJU;TOMMO;LELING BARAT;9;3;6;0;0;0;0;0;3;0;3;0;0;0;3;0;3;0;3;0
154;SULAWESI BARAT;MAMUJU;TOMMO;LELING UTARA;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
155;SULAWESI BARAT;MAMUJU;TOMMO;SALUDENGEN;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
156;SULAWESI BARAT;MAJENE;BANGGAE;BANGGAE;26;1;25;1;1;0;1;0;1;0;1;0;1;0;0;0;0;1;1;0
157;SULAWESI BARAT;MAJENE;BANGGAE;BARU;30;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
158;SULAWESI BARAT;MAJENE;BANGGAE;PANGALI ALI;66;3;63;1;1;0;0;1;3;0;3;0;3;0;0;0;3;0;3;0
159;SULAWESI BARAT;MAJENE;BANGGAE;TOTOLI;33;1;32;1;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1
160;SULAWESI BARAT;MAJENE;BANGGAE;RANGAS;49;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
161;SULAWESI BARAT;MAJENE;BANGGAE;GALUNG;13;17;-4;9;4;2;4;2;17;0;17;0;17;0;0;0;8;9;6;11
162;SULAWESI BARAT;MAJENE;BANGGAE;PALIPI SOREANG;18;3;15;0;0;0;0;0;3;0;3;0;3;0;0;0;0;3;1;2
163;SULAWESI BARAT;MAJENE;BANGGAE;PAMBOBORANG;22;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
164;SULAWESI BARAT;MAJENE;MALUNDA;MALUNDA;12;7;5;3;3;0;2;1;6;1;6;1;7;0;0;0;1;6;1;6
165;SULAWESI BARAT;MAJENE;MALUNDA;LAMUNGANG BATU;22;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
166;SULAWESI BARAT;MAJENE;MALUNDA;BAMBANGAN;15;10;5;1;1;0;0;1;10;0;10;0;8;0;2;0;1;9;8;2
167;SULAWESI BARAT;MAJENE;MALUNDA;LOMBANG;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
168;SULAWESI BARAT;MAJENE;MALUNDA;LOMBONG;28;21;7;2;2;0;2;0;21;0;21;0;1;0;20;0;15;6;19;2
169;SULAWESI BARAT;MAJENE;MALUNDA;MEKKATTA;23;7;16;1;2;0;1;1;7;0;7;0;3;1;3;0;7;0;7;0
170;SULAWESI BARAT;MAJENE;MALUNDA;MALIAYA;20;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
171;SULAWESI BARAT;MAJENE;MALUNDA;LOMBANG TIMUR;7;6;1;2;1;1;1;1;6;0;6;0;6;0;0;0;6;0;2;4
172;SULAWESI BARAT;MAJENE;MALUNDA;SALUTAHONGAN;15;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
173;SULAWESI BARAT;MAJENE;MALUNDA;LOMBONG TIMUR;15;25;-10;11;7;2;4;5;25;0;25;0;25;0;0;0;0;25;24;1
174;SULAWESI BARAT;MAJENE;MALUNDA;MEKKATTA SELATAN;15;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
175;SULAWESI BARAT;MAJENE;MALUNDA;KAYUANGIN;16;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
176;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BAURUNG;40;25;15;13;11;1;7;5;25;0;25;0;24;0;1;0;7;18;22;3
177;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BARUGA;6;14;-8;10;6;0;6;0;14;0;14;0;7;0;6;1;1;13;4;10
178;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BARUGA DHUA;12;35;-23;20;17;2;14;5;35;0;35;0;35;0;0;0;31;4;30;5
179;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;LABUANG;29;43;-14;21;18;0;16;2;43;0;40;3;35;2;6;0;23;20;36;7
180;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;TANDE;7;15;-8;10;7;0;5;2;15;0;15;0;12;1;2;0;1;14;10;5
181;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;LEMBANG;35;33;2;22;11;0;7;4;33;0;33;0;33;0;0;0;5;28;18;15
182;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;LABUANG UTARA;18;18;0;12;9;0;4;5;18;0;18;0;14;0;4;0;7;11;14;4
183;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;TANDE TIMUR;12;25;-13;10;6;0;6;0;25;0;25;0;25;0;0;0;2;23;18;7
184;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BUTTU BARUGA;18;19;-1;12;12;0;12;0;19;0;19;0;1;0;18;0;3;16;16;3
185;SULAWESI BARAT;MAJENE;PAMBOANG;LALAMPANUA;11;4;7;2;1;1;0;2;4;0;4;0;3;0;1;0;0;4;1;3
186;SULAWESI BARAT;MAJENE;PAMBOANG;SIRINDU;8;6;2;2;1;0;1;0;6;0;6;0;1;5;0;0;0;6;3;3
187;SULAWESI BARAT;MAJENE;PAMBOANG;ADOLANG;6;12;-6;7;7;0;5;2;12;0;11;1;0;9;3;0;11;1;10;2
188;SULAWESI BARAT;MAJENE;PAMBOANG;BABABULO;29;16;13;2;2;0;2;0;16;0;16;0;14;0;2;0;14;2;16;0
189;SULAWESI BARAT;MAJENE;PAMBOANG;BONDE;27;1;26;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1
190;SULAWESI BARAT;MAJENE;PAMBOANG;BETTENG;6;6;0;0;0;0;0;0;6;0;6;0;4;0;2;0;6;0;6;0
191;SULAWESI BARAT;MAJENE;PAMBOANG;SIMBANG;6;4;2;0;0;0;0;0;4;0;4;0;2;1;1;0;2;2;3;1
192;SULAWESI BARAT;MAJENE;PAMBOANG;BONDE UTARA;34;44;-10;23;20;0;20;0;44;0;44;0;17;0;27;0;6;38;44;0
193;SULAWESI BARAT;MAJENE;PAMBOANG;BABABULO UTARA;7;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
194;SULAWESI BARAT;MAJENE;PAMBOANG;BUTTU PAMBOANG;11;12;-1;1;1;0;0;1;12;0;12;0;10;0;2;0;8;4;11;1
195;SULAWESI BARAT;MAJENE;PAMBOANG;BANUA ADOLANG;23;25;-2;10;9;0;7;2;25;0;25;0;1;24;0;0;12;13;19;6
196;SULAWESI BARAT;MAJENE;PAMBOANG;ADOLANG DHUA;9;17;-8;12;7;0;3;4;17;0;17;0;3;4;9;1;15;2;14;3
197;SULAWESI BARAT;MAJENE;PAMBOANG;TINAMBUNG;9;7;2;5;5;0;5;0;7;0;7;0;2;5;0;0;1;6;4;3
198;SULAWESI BARAT;MAJENE;PAMBOANG;PESULOANG;7;9;-2;4;1;0;0;1;9;0;9;0;3;4;2;0;0;9;9;0
199;SULAWESI BARAT;MAJENE;PAMBOANG;BALOMBONG;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200;SULAWESI BARAT;MAJENE;SENDANA;MOSSO;30;8;22;2;2;0;2;0;8;0;8;0;3;1;4;0;0;8;3;5
201;SULAWESI BARAT;MAJENE;SENDANA;MOSSO DHUA;14;16;-2;5;3;0;3;0;16;0;14;2;12;0;4;0;1;15;6;10
202;SULAWESI BARAT;MAJENE;SENDANA;TOTOLISI SENDANA;11;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
203;SULAWESI BARAT;MAJENE;SENDANA;TALLUBANUA;22;17;5;11;9;0;9;0;17;0;17;0;0;0;17;0;0;17;11;6
204;SULAWESI BARAT;MAJENE;SENDANA;LALATEDZONG;8;10;-2;4;4;0;4;0;10;0;10;0;8;0;2;0;3;7;9;1
205;SULAWESI BARAT;MAJENE;SENDANA;BINANGA;5;13;-8;9;9;0;9;0;13;0;13;0;0;0;13;0;0;13;13;0
206;SULAWESI BARAT;MAJENE;SENDANA;PUTTADA;7;4;3;2;2;0;2;0;4;0;4;0;2;2;0;0;0;4;4;0
207;SULAWESI BARAT;MAJENE;SENDANA;PAMINGGALAN;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
208;SULAWESI BARAT;MAJENE;SENDANA;LEPPANGANG;3;1;2;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0
209;SULAWESI BARAT;MAJENE;SENDANA;PUNDAU;8;10;-2;6;4;0;3;1;10;0;10;0;6;4;0;0;10;0;6;4
210;SULAWESI BARAT;MAJENE;SENDANA;SENDANA;4;4;0;1;1;0;0;1;4;0;4;0;4;0;0;0;4;0;4;0
211;SULAWESI BARAT;MAJENE;SENDANA;BANUA SENDANA;5;5;0;2;2;0;2;0;5;0;5;0;0;5;0;0;1;4;1;4
212;SULAWESI BARAT;MAJENE;SENDANA;TALLUBANUA UTARA;6;2;4;1;1;0;1;0;2;0;2;0;1;0;1;0;2;0;2;0
213;SULAWESI BARAT;MAJENE;SENDANA;LIMBORO RAMBU-RAMBU;5;11;-6;6;4;2;4;2;11;0;11;0;1;10;0;0;9;2;11;0
214;SULAWESI BARAT;MAJENE;SENDANA;LIMBUA;7;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
215;SULAWESI BARAT;MAJENE;SENDANA;BUKIT SAMANG;5;14;-9;9;4;0;3;1;14;0;14;0;8;1;5;0;7;7;5;9
216;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;SEPPONG;16;32;-16;17;12;1;13;0;32;0;32;0;32;0;0;0;9;23;3;29
217;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;TAMMERODO;21;39;-18;22;9;1;10;0;39;0;39;0;14;8;17;0;14;25;32;7
218;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;ULIDANG;17;37;-20;26;13;5;14;4;37;0;37;0;26;6;5;0;18;19;22;15
219;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;TALLAMBALAO;10;31;-21;25;21;0;21;0;31;0;31;0;26;4;1;0;19;12;13;18
220;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;TAMMERODO UTARA;27;32;-5;11;8;0;6;2;32;0;32;0;31;1;0;0;9;23;12;20
221;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;MANYAMBA;8;26;-18;19;9;1;9;1;26;0;26;0;11;4;11;0;3;23;22;4
222;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;AWO;20;32;-12;20;16;1;16;1;30;2;30;2;12;6;14;0;32;0;11;21
223;SULAWESI BARAT;MAJENE;TUBO SENDANA;ONANG;20;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
224;SULAWESI BARAT;MAJENE;TUBO SENDANA;TUBO;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
225;SULAWESI BARAT;MAJENE;TUBO SENDANA;ONANG UTARA;6;2;4;2;1;0;0;1;2;0;2;0;1;0;0;1;2;0;2;0
226;SULAWESI BARAT;MAJENE;TUBO SENDANA;TUBO SELATAN;7;20;-13;15;13;0;11;2;20;0;20;0;2;0;18;0;11;9;12;8
227;SULAWESI BARAT;MAJENE;TUBO SENDANA;BONDE BONDE;7;5;2;1;0;0;0;0;5;0;5;0;5;0;0;0;0;5;0;5
228;SULAWESI BARAT;MAJENE;TUBO SENDANA;TUBO TENGAH;8;10;-2;8;6;0;5;1;10;0;10;0;3;0;6;1;6;4;2;8
229;SULAWESI BARAT;MAJENE;TUBO SENDANA;TUBO POANG;5;3;2;0;0;0;0;0;3;0;3;0;3;0;0;0;0;3;0;3
230;SULAWESI BARAT;MAJENE;ULUMANDA;KABIRAAN;18;2;16;0;0;0;0;0;2;0;2;0;1;1;0;0;2;0;2;0
231;SULAWESI BARAT;MAJENE;ULUMANDA;SAMBABO;12;11;1;2;1;1;2;0;11;0;11;0;11;0;0;0;4;7;6;5
232;SULAWESI BARAT;MAJENE;ULUMANDA;TANDEALLO;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
233;SULAWESI BARAT;MAJENE;ULUMANDA;ULUMANDA;20;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234;SULAWESI BARAT;MAJENE;ULUMANDA;SALUTAMBUNG;13;2;11;1;1;0;1;0;2;0;2;0;2;0;0;0;2;0;2;0
235;SULAWESI BARAT;MAJENE;ULUMANDA;POPENGA;7;7;0;6;3;1;4;0;7;0;7;0;7;0;0;0;7;0;7;0
236;SULAWESI BARAT;MAJENE;ULUMANDA;SULAI;16;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
237;SULAWESI BARAT;MAJENE;ULUMANDA;PANGGALO;7;7;0;0;0;0;0;0;7;0;7;0;7;0;0;0;7;0;7;0
238;SULAWESI BARAT;POLEWALI MANDAR;ALLU;PETOOSANG;5;11;-6;4;3;0;3;0;11;0;11;0;11;0;0;0;0;11;4;7
239;SULAWESI BARAT;POLEWALI MANDAR;ALLU;MOMBI;15;12;3;7;2;0;0;2;12;0;12;0;7;1;4;0;2;10;3;9
240;SULAWESI BARAT;POLEWALI MANDAR;ALLU;KALUMAMMANG;14;8;6;1;2;0;2;0;8;0;8;0;0;0;8;0;8;0;8;0
241;SULAWESI BARAT;POLEWALI MANDAR;ALLU;PAO-PAO;25;47;-22;29;25;0;21;4;47;0;47;0;30;1;16;0;22;25;29;18
242;SULAWESI BARAT;POLEWALI MANDAR;ALLU;PUPPU URING;25;11;14;9;8;0;7;1;11;0;11;0;1;4;6;0;0;11;11;0
243;SULAWESI BARAT;POLEWALI MANDAR;ALLU;SARAGIAN;6;6;0;4;1;0;1;0;6;0;6;0;0;6;0;0;6;0;6;0
244;SULAWESI BARAT;POLEWALI MANDAR;ALLU;SAYOANG;3;11;-8;9;4;2;3;3;11;0;11;0;11;0;0;0;11;0;9;2
245;SULAWESI BARAT;POLEWALI MANDAR;ALLU;ALU;14;11;3;4;4;0;4;0;11;0;11;0;8;0;3;0;2;9;2;9
246;SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;ANREAPI;22;7;15;3;3;0;3;0;7;0;7;0;0;0;7;0;4;3;7;0
247;SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;DUAMPANUA;22;20;2;13;12;0;12;0;20;0;20;0;1;0;19;0;2;18;1;19
248;SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;KELAPA DUA;18;17;1;6;1;0;1;0;17;0;17;0;4;4;9;0;8;9;10;7
249;SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;PAPPANDANGAN;15;1;14;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0
250;SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;KUNYI;8;10;-2;3;1;0;1;0;10;0;10;0;7;0;3;0;0;10;4;6
251;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;BALANIPA;17;20;-3;18;7;1;5;3;20;0;20;0;18;0;2;0;2;18;14;6
252;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;TAMMAJARRA;19;9;10;4;3;0;3;0;9;0;9;0;9;0;0;0;7;2;7;2
253;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;TAMANGGALLE;21;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
254;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;MOSSO;5;3;2;1;1;0;1;0;3;0;3;0;3;0;0;0;0;3;2;1
255;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;GALUNG TULUK;18;1;17;1;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1
256;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;SABANG SUBIK;16;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
257;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;PAMBUSUANG;66;37;29;16;10;0;8;2;37;0;37;0;29;8;0;0;30;7;34;3
258;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;BALA;80;24;56;12;8;0;8;0;24;0;24;0;24;0;0;0;2;22;3;21
259;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;LAMBANAN;9;16;-7;13;8;0;5;3;16;0;16;0;15;1;0;0;8;8;3;13
260;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;LEGO;11;20;-9;11;9;0;2;7;20;0;20;0;2;18;0;0;20;0;20;0
261;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;PALLIS;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
262;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;AMASSANGAN;31;5;26;0;0;0;0;0;5;0;5;0;3;0;2;0;5;0;3;2
263;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;TONYAMAN;30;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
264;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;KUAJANG;38;12;26;9;9;0;9;0;12;0;12;0;2;9;1;0;6;6;5;7
265;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;PAKU;12;2;10;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;2
266;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;MIRRING;27;19;8;12;3;0;3;0;19;0;19;0;18;0;1;0;3;16;15;4
267;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;BATETANGNGA;35;26;9;17;10;0;10;0;26;0;26;0;11;0;15;0;17;9;18;8
268;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;MAMMI;9;22;-13;15;3;0;3;0;22;0;22;0;1;1;20;0;15;7;3;19
269;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;KALEOK;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
270;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;AMOLA;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
271;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;REA;26;31;-5;13;9;0;9;0;31;0;31;0;29;0;2;0;1;30;14;17
272;SULAWESI BARAT;POLEWALI MANDAR;BULO;BULO;21;1;20;1;1;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0
273;SULAWESI BARAT;POLEWALI MANDAR;BULO;PULLIWA;23;7;16;0;0;0;0;0;7;0;7;0;7;0;0;0;0;7;0;7
274;SULAWESI BARAT;POLEWALI MANDAR;BULO;PATAMBANUA;11;2;9;1;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;2
275;SULAWESI BARAT;POLEWALI MANDAR;BULO;KAROMBANG;13;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
276;SULAWESI BARAT;POLEWALI MANDAR;BULO;DAALA TIMUR;6;1;5;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1
277;SULAWESI BARAT;POLEWALI MANDAR;BULO;LENGGO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
278;SULAWESI BARAT;POLEWALI MANDAR;BULO;SABURA;10;5;5;0;0;0;0;0;5;0;5;0;4;0;0;1;1;4;1;4
279;SULAWESI BARAT;POLEWALI MANDAR;BULO;SEPPORRAKI;8;10;-2;5;1;0;1;0;10;0;10;0;10;0;0;0;0;10;0;10
280;SULAWESI BARAT;POLEWALI MANDAR;BULO;IHING;19;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
281;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;PAPPANG;27;15;12;15;10;0;10;0;15;0;15;0;13;2;0;0;5;10;12;3
282;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;LALIKO;31;10;21;8;6;1;7;0;10;0;10;0;4;5;1;0;0;10;6;4
283;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;BONDE;20;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
284;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;KATUMBANGAN LEMO;31;6;25;2;2;0;2;0;6;0;6;0;6;0;0;0;3;3;6;0
285;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;PANYAMPA;39;17;22;13;12;0;12;0;17;0;17;0;17;0;0;0;0;17;1;16
286;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;SURUANG;21;18;3;13;7;0;6;1;18;0;18;0;13;5;0;0;11;7;15;3
287;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;LAMPOKO;32;34;-2;31;19;4;14;9;32;2;32;2;14;11;9;0;17;17;26;8
288;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;KATUMBANGAN;51;30;21;18;9;0;7;2;30;0;30;0;30;0;0;0;10;20;23;7
289;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;LAPEO;33;9;24;4;2;1;0;3;9;0;9;0;5;0;4;0;9;0;9;0
290;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;PARAPPE;51;13;38;0;0;0;0;0;13;0;13;0;0;0;13;0;10;3;1;12
291;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;ONGKO;12;32;-20;27;17;0;12;5;32;0;32;0;32;0;0;0;0;32;8;24
292;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;KENJE;19;2;17;2;2;0;2;0;2;0;2;0;2;0;0;0;2;0;1;1
293;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;SUMARRANG;26;35;-9;34;2;0;2;0;35;0;35;0;16;2;13;4;4;31;30;5
294;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;BOTTO;38;12;26;5;3;0;2;1;12;0;12;0;11;0;1;0;11;1;10;2
295;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;GATTUNGAN;23;19;4;9;7;0;7;0;19;0;19;0;19;0;0;0;19;0;19;0
296;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;PADANG TIMUR;19;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
297;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;PADANG;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;LAGI-AGI;14;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
298;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;LIMBORO;13;19;-6;13;11;0;6;5;19;0;19;0;19;0;0;0;8;11;17;2
299;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;LEMBANG LEMBANG;15;12;3;7;4;0;2;2;12;0;12;0;8;4;0;0;3;9;6;6
300;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;TANDASURA;10;13;-3;8;5;0;5;0;12;1;13;0;8;1;4;0;5;8;12;1
301;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;SAMASUNDU;8;14;-6;13;11;0;11;0;14;0;14;0;14;0;0;0;0;14;0;14
302;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;NAPO;7;8;-1;5;4;0;4;0;8;0;8;0;8;0;0;0;0;8;8;0
303;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;TODANG TODANG;14;9;5;1;1;0;1;0;9;0;9;0;5;1;3;0;4;5;8;1
304;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;PENDULANGAN;9;3;6;3;1;0;1;0;3;0;3;0;0;1;2;0;2;1;3;0
305;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;RENGGEANG;8;19;-11;11;6;0;1;5;19;0;19;0;19;0;0;0;15;4;13;6
306;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;SALARRI;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
307;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;TANGAN BARU;9;1;8;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1
308;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;PALECE;8;13;-5;8;6;0;6;0;12;1;13;0;13;0;0;0;4;9;10;3
309;SULAWESI BARAT;POLEWALI MANDAR;LUYO;BATUPANGA;23;5;18;5;0;0;0;0;5;0;5;0;5;0;0;0;1;4;5;0
310;SULAWESI BARAT;POLEWALI MANDAR;LUYO;MAMBU;22;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
311;SULAWESI BARAT;POLEWALI MANDAR;LUYO;TENGGELANG;26;6;20;5;4;0;4;0;6;0;6;0;0;6;0;0;6;0;6;0
312;SULAWESI BARAT;POLEWALI MANDAR;LUYO;BARU;58;6;52;5;2;0;2;0;6;0;6;0;5;1;0;0;2;4;5;1
313;SULAWESI BARAT;POLEWALI MANDAR;LUYO;PUSSUI;11;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
314;SULAWESI BARAT;POLEWALI MANDAR;LUYO;MAPILI BARAT;25;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
315;SULAWESI BARAT;POLEWALI MANDAR;LUYO;SAMBALI WALI;18;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
316;SULAWESI BARAT;POLEWALI MANDAR;LUYO;BATUPANGA DAALA;39;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
317;SULAWESI BARAT;POLEWALI MANDAR;LUYO;LUYO;18;14;4;3;2;0;2;0;14;0;14;0;14;0;0;0;3;11;11;3
318;SULAWESI BARAT;POLEWALI MANDAR;LUYO;PUSSUI BARAT;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
