PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;JUMLAH KELURAHAN/DESA;JUMLAH KAMPUNG KB;2016;2017;2018;2019;> 2019;KAMPUNG KB MANDIRI;KAMPUNG KB PERCONTOHAN
SULAWESI BARAT;PASANGKAYU;PEDONGGA;2003;BATU OGE;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;PASANGKAYU;PEDONGGA;2004;MARTASARI;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;PASANGKAYU;SARJO;2001;SARJO;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;PASANGKAYU;SARJO;2002;MAPONU;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;PASANGKAYU;SARJO;2003;LETAWA;1;0;0;0;0;0;0;0;0
SULAWESI BARAT;PASANGKAYU;SARJO;2004;SARUDE;1;0;0;0;0;0;0;0;0
SULAWESI BARAT;PASANGKAYU;SARUDU;2001;SARUDU;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;PASANGKAYU;SARUDU;2003;BULU MARIO;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;SARUDU;2005;KUMASARI;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;SARUDU;2011;PATIKA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;SARUDU;2012;DODA;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;2001;TIKKE;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;2002;MAKMUR JAYA;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;2003;LARIANG;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;2004;PAJALELE;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;2005;JENGENG RAYA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;MAMUJU;1002;BINANGA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;MAMUJU;1003;MAMUNYU;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;MAMUJU;MAMUJU;1012;KAREMA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;MAMUJU;1013;RIMUKU;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;MAMUJU;2005;BAMBU;1;1;0;0;0;0;1;0;0
