;PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;JUMLAH BUMIL;BUMIL TERDAMPINGI;BUMIL TIDAK TERDAMPINGI;JUMLAH BUMIL >=32 MINGGU;BUMIL >=32 MINGGU MENDAPAT INFORMASI KONTRASEPSI;BUMIL >=32 MINGGU TIDAK MENDAPAT INFORMASI KONTRASEPSI;BUMIL >=32 MINGGU AKAN KBPP;BUMIL >=32 MINGGU MEMUTUSKAN TIDAK KBPP;MENDAPATKAN TTD;TIDAK MENDAPATKAN TTD;MENGKOMSUMSI TTD;TIDAK MENGKOMSUMSI TTD;KIE PERSEORANGAN;KIE KELOMPOK;KIE PERSEORANGAN DAN KELOMPOK;TIDAK MENDAPAT KIE;MENDAPAT FASILITASI RUJUKAN;TIDAK MENDAPAT FASILITASI RUJUKAN;MENDAPAT FASILITASI BANSOS;TIDAK MENDAPAT FASILITASI BANSOS;BULAN
31;SULAWESI BARAT;PASANGKAYU;DURIPOKU;SIPAKAINGA;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
32;SULAWESI BARAT;PASANGKAYU;LARIANG;PARABU;9;10;-1;3;1;0;1;0;10;0;10;0;9;0;1;0;4;6;3;7;SEPTEMBER
33;SULAWESI BARAT;PASANGKAYU;LARIANG;KENANGAN;3;3;0;1;0;0;0;0;3;0;3;0;3;0;0;0;0;3;0;3;SEPTEMBER
34;SULAWESI BARAT;PASANGKAYU;LARIANG;BAJAWALI;4;12;-8;8;2;0;2;0;12;0;12;0;9;1;0;2;1;11;1;11;SEPTEMBER
35;SULAWESI BARAT;PASANGKAYU;LARIANG;SINGGANI;10;15;-5;11;5;0;5;0;15;0;15;0;13;0;2;0;14;1;3;12;SEPTEMBER
36;SULAWESI BARAT;PASANGKAYU;LARIANG;KULU;8;11;-3;6;5;0;5;0;11;0;11;0;10;1;0;0;1;10;11;0;SEPTEMBER
37;SULAWESI BARAT;PASANGKAYU;LARIANG;BATU MATORU;4;6;-2;4;3;0;1;2;6;0;6;0;6;0;0;0;6;0;0;6;SEPTEMBER
38;SULAWESI BARAT;PASANGKAYU;LARIANG;BAMBAKORO;21;12;9;6;5;1;4;2;12;0;12;0;12;0;0;0;0;12;10;2;SEPTEMBER
39;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;PASANGKAYU;71;2;69;0;0;0;0;0;2;0;2;0;2;0;0;0;1;1;2;0;SEPTEMBER
40;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;MARTAJAYA;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
41;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;PAKAVA;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
42;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;KARYA BERSAMA;20;10;10;9;7;0;7;0;10;0;10;0;10;0;0;0;7;3;4;6;SEPTEMBER
43;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;AKO;16;17;-1;13;6;1;5;2;17;0;17;0;17;0;0;0;2;15;2;15;SEPTEMBER
44;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;GUNUNG SARI;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
45;SULAWESI BARAT;PASANGKAYU;PEDONGGA;MALEI;17;4;13;3;3;0;0;3;4;0;4;0;4;0;0;0;0;4;0;4;SEPTEMBER
46;SULAWESI BARAT;PASANGKAYU;PEDONGGA;PEDANDA;8;6;2;4;0;0;0;0;6;0;6;0;6;0;0;0;5;1;0;6;SEPTEMBER
47;SULAWESI BARAT;PASANGKAYU;PEDONGGA;BATU OGE;13;2;11;1;0;0;0;0;2;0;2;0;2;0;0;0;1;1;0;2;SEPTEMBER
48;SULAWESI BARAT;PASANGKAYU;PEDONGGA;MARTASARI;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
49;SULAWESI BARAT;PASANGKAYU;SARJO;SARJO;28;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
50;SULAWESI BARAT;PASANGKAYU;SARJO;MAPONU;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
51;SULAWESI BARAT;PASANGKAYU;SARJO;LETAWA;17;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
52;SULAWESI BARAT;PASANGKAYU;SARJO;SARUDE;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
53;SULAWESI BARAT;PASANGKAYU;SARUDU;SARUDU;60;14;46;7;7;0;7;0;14;0;14;0;14;0;0;0;14;0;14;0;SEPTEMBER
54;SULAWESI BARAT;PASANGKAYU;SARUDU;BULU MARIO;35;42;-7;34;27;0;7;20;42;0;42;0;42;0;0;0;0;42;9;33;SEPTEMBER
55;SULAWESI BARAT;PASANGKAYU;SARUDU;KUMASARI;20;5;15;1;1;0;0;1;5;0;5;0;3;0;2;0;2;3;0;5;SEPTEMBER
56;SULAWESI BARAT;PASANGKAYU;SARUDU;PATIKA;4;6;-2;3;3;0;3;0;6;0;6;0;5;0;1;0;1;5;0;6;SEPTEMBER
57;SULAWESI BARAT;PASANGKAYU;SARUDU;DODA;10;1;9;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;SEPTEMBER
58;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;TIKKE;17;18;-1;7;4;0;3;1;18;0;18;0;13;5;0;0;1;17;0;18;SEPTEMBER
59;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;MAKMUR JAYA;7;6;1;4;1;0;1;0;6;0;6;0;6;0;0;0;0;6;0;6;SEPTEMBER
60;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;LARIANG;21;20;1;5;1;0;0;1;20;0;20;0;20;0;0;0;13;7;11;9;SEPTEMBER
61;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;PAJALELE;19;21;-2;13;11;0;6;5;21;0;21;0;21;0;0;0;1;20;0;21;SEPTEMBER
62;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;JENGENG RAYA;14;6;8;1;1;0;1;0;6;0;5;1;6;0;0;0;0;6;0;6;SEPTEMBER
63;SULAWESI BARAT;MAMUJU;MAMUJU;BINANGA;17;3;14;2;2;0;1;1;3;0;3;0;3;0;0;0;0;3;0;3;SEPTEMBER
64;SULAWESI BARAT;MAMUJU;MAMUJU;MAMUNYU;27;19;8;5;3;0;3;0;19;0;19;0;11;7;1;0;0;19;12;7;SEPTEMBER
65;SULAWESI BARAT;MAMUJU;MAMUJU;KAREMA;45;14;31;9;7;0;7;0;13;1;13;1;4;2;8;0;2;12;4;10;SEPTEMBER
66;SULAWESI BARAT;MAMUJU;MAMUJU;RIMUKU;25;30;-5;23;17;0;15;2;30;0;30;0;13;3;14;0;5;25;2;28;SEPTEMBER
67;SULAWESI BARAT;MAMUJU;MAMUJU;BAMBU;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
68;SULAWESI BARAT;MAMUJU;MAMUJU;KARAMPUANG;22;4;18;2;2;0;2;0;4;0;4;0;4;0;0;0;2;2;4;0;SEPTEMBER
69;SULAWESI BARAT;MAMUJU;MAMUJU;TADUI;38;45;-7;27;15;0;15;0;45;0;45;0;24;0;21;0;0;45;15;30;SEPTEMBER
70;SULAWESI BARAT;MAMUJU;MAMUJU;BATU PANNU;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
71;SULAWESI BARAT;MAMUJU;TAPALANG;GALUNG;25;11;14;6;4;0;3;1;10;1;10;1;11;0;0;0;0;11;7;4;SEPTEMBER
72;SULAWESI BARAT;MAMUJU;TAPALANG;KASAMBANG;10;12;-2;9;8;0;8;0;11;1;11;1;12;0;0;0;0;12;0;12;SEPTEMBER
73;SULAWESI BARAT;MAMUJU;TAPALANG;DAYANGINNA;27;12;15;4;3;0;1;2;9;3;9;3;12;0;0;0;0;12;0;12;SEPTEMBER
74;SULAWESI BARAT;MAMUJU;TAPALANG;OROBATU;5;10;-5;3;3;0;2;1;10;0;10;0;10;0;0;0;4;6;9;1;SEPTEMBER
75;SULAWESI BARAT;MAMUJU;TAPALANG;TAKANDEANG;24;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
76;SULAWESI BARAT;MAMUJU;TAPALANG;BELA;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
77;SULAWESI BARAT;MAMUJU;TAPALANG;TAAN;29;16;13;5;4;0;4;0;16;0;16;0;14;1;1;0;13;3;15;1;SEPTEMBER
78;SULAWESI BARAT;MAMUJU;TAPALANG;TAMPALANG;21;2;19;1;1;0;1;0;2;0;2;0;2;0;0;0;0;2;0;2;SEPTEMBER
79;SULAWESI BARAT;MAMUJU;TAPALANG;RANTEDODA;23;29;-6;19;14;0;10;4;22;7;22;7;25;1;3;0;2;27;1;28;SEPTEMBER
80;SULAWESI BARAT;MAMUJU;TAPALANG;KOPEANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
;SULAWESI BARAT;MAMUJU;KALUKKU;SINYONYOI;21;9;12;8;6;0;5;1;9;0;9;0;9;0;0;0;2;7;3;6;SEPTEMBER
