;PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;JUMLAH KELUARGA;JUMLAH KELUARGA SASARAN;KESEJAHTERAAN 1;KESEJAHTERAAN 2;KESEJAHTERAAN 3;KESEJAHTERAAN 4;KESEJAHTERAAN > 4;JUMLAH KRS;JUMLAH TIDAK BERESIKO;PUNYA BADUTA;PUNYA BALITA;PUS;PUS HAMIL;SUMBER AIR MINUM TIDAK LAYAK;JAMBAN TIDAK LAYAK;TERLALU MUDA;TERLALU TUA;TERLALU DEKAT;TERLALU BANYAK;PUS 4T;BUKAN PESERTA KB MODERN;PERIODE
31;SULAWESI BARAT;PASANGKAYU;DURIPOKU;2004;SIPAKAINGA;212;146;1;2;4;3;14;24;122;8;20;146;3;8;4;2;28;0;44;64;39;Sem 2 2024
32;SULAWESI BARAT;PASANGKAYU;LARIANG;2001;PARABU;299;203;0;0;1;0;17;18;185;20;62;203;1;0;0;6;44;1;60;90;56;Sem 2 2024
33;SULAWESI BARAT;PASANGKAYU;LARIANG;2002;KENANGAN;142;88;0;1;0;0;2;3;85;10;21;87;1;0;0;1;20;1;31;42;21;Sem 2 2024
34;SULAWESI BARAT;PASANGKAYU;LARIANG;2003;BAJAWALI;260;150;0;0;0;0;3;3;147;20;38;150;8;0;0;2;32;1;41;61;17;Sem 2 2024
35;SULAWESI BARAT;PASANGKAYU;LARIANG;2004;SINGGANI;403;301;4;4;3;6;40;57;244;32;70;301;10;7;10;7;85;4;102;156;111;Sem 2 2024
36;SULAWESI BARAT;PASANGKAYU;LARIANG;2005;KULU;227;162;3;4;2;1;9;19;143;16;49;161;4;0;0;2;47;4;69;91;39;Sem 2 2024
37;SULAWESI BARAT;PASANGKAYU;LARIANG;2006;BATU MATORU;239;178;0;1;0;1;12;14;164;21;51;178;0;0;0;3;32;3;59;80;51;Sem 2 2024
38;SULAWESI BARAT;PASANGKAYU;LARIANG;2007;BAMBAKORO;346;271;3;1;4;9;42;59;212;42;76;270;2;1;28;6;52;8;91;124;89;Sem 2 2024
39;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;1001;PASANGKAYU;2699;1991;4;4;7;3;281;299;1692;50;377;1986;8;0;45;15;565;11;589;964;686;Sem 2 2024
40;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;1002;MARTAJAYA;463;294;0;0;1;0;24;25;269;32;66;294;3;0;1;1;63;2;61;105;74;Sem 2 2024
41;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;2010;PAKAVA;738;557;17;11;8;5;100;141;416;23;105;553;1;61;123;12;129;2;138;234;114;Sem 2 2024
42;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;2014;KARYA BERSAMA;574;460;7;12;10;17;72;118;342;53;159;459;1;1;92;5;91;7;176;220;83;Sem 2 2024
43;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;2015;AKO;804;562;7;14;5;13;160;199;363;33;117;561;10;20;143;8;142;6;183;270;159;Sem 2 2024
44;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;2016;GUNUNG SARI;941;770;12;16;12;28;112;180;590;9;78;769;0;75;87;9;212;1;171;333;165;Sem 2 2024
45;SULAWESI BARAT;PASANGKAYU;PEDONGGA;2001;MALEI;564;381;4;3;5;9;45;66;315;42;95;380;11;2;14;5;87;6;85;150;144;Sem 2 2024
46;SULAWESI BARAT;PASANGKAYU;PEDONGGA;2002;PEDANDA;453;294;1;1;1;1;45;49;245;23;69;287;4;1;26;5;61;1;35;88;89;Sem 2 2024
47;SULAWESI BARAT;PASANGKAYU;PEDONGGA;2003;BATU OGE;321;235;5;4;2;5;50;66;169;29;46;234;1;17;46;5;45;1;62;98;56;Sem 2 2024
48;SULAWESI BARAT;PASANGKAYU;PEDONGGA;2004;MARTASARI;1022;781;8;9;4;11;143;175;606;48;148;776;2;15;106;11;172;2;150;282;216;Sem 2 2024
