;PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;JUMLAH KELUARGA;JUMLAH KELUARGA SASARAN;KESEJAHTERAAN 1;KESEJAHTERAAN 2;KESEJAHTERAAN 3;KESEJAHTERAAN 4;KESEJAHTERAAN > 4;JUMLAH KRS;JUMLAH TIDAK BERESIKO;PUNYA BADUTA;PUNYA BALITA;PUS;PUS HAMIL;SUMBER AIR MINUM TIDAK LAYAK;JAMBAN TIDAK LAYAK;TERLALU MUDA;TERLALU TUA;TERLALU DEKAT;TERLALU BANYAK;PUS 4T;BUKAN PESERTA KB MODERN;PERIODE
138;SULAWESI BARAT;MAMUJU;SIMBORO;2004;SALETTO;781;558;68;39;50;20;49;226;332;73;156;557;2;71;174;10;111;15;218;275;202;Sem 2 2024
139;SULAWESI BARAT;MAMUJU;SIMBORO;2005;SUMARE;590;396;12;15;27;21;80;155;241;30;75;395;1;9;102;7;80;2;138;184;142;Sem 2 2024
140;SULAWESI BARAT;MAMUJU;SIMBORO;2007;BOTTENG UTARA;794;582;45;46;59;28;210;388;194;82;165;577;13;269;158;46;124;8;145;265;243;Sem 2 2024
141;SULAWESI BARAT;MAMUJU;SIMBORO;2008;TAPANDULLU;206;122;4;11;13;1;16;45;77;21;31;121;0;0;24;2;29;4;43;55;55;Sem 2 2024
142;SULAWESI BARAT;MAMUJU;SIMBORO;2009;PATI'DI;430;329;35;31;31;10;60;167;162;12;45;327;5;78;102;6;72;2;111;155;114;Sem 2 2024
143;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;2001;DUNGKAIT;484;348;0;3;3;3;60;69;279;50;98;346;3;19;31;7;83;8;148;184;72;Sem 2 2024
144;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;2002;LEBANI;361;244;34;26;17;10;14;101;143;34;83;244;0;71;13;3;49;9;129;150;96;Sem 2 2024
145;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;2003;LABUANG RANO;701;479;28;11;5;1;208;253;226;60;156;476;2;14;159;7;101;12;228;263;242;Sem 2 2024
146;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;2004;PASABU;378;283;6;7;13;11;45;82;201;59;83;281;7;25;15;3;72;5;152;179;103;Sem 2 2024
147;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;2005;TANETE PAO;115;71;11;9;6;4;11;41;30;8;16;71;0;10;32;0;21;0;26;36;25;Sem 2 2024
148;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;2006;PANGASAAN;228;172;99;22;12;3;6;142;30;11;19;172;0;6;131;5;36;0;73;93;102;Sem 2 2024
149;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;2007;AHU;338;269;21;11;8;12;23;75;194;53;91;265;17;8;44;10;55;9;125;154;76;Sem 2 2024
150;SULAWESI BARAT;MAMUJU;TOMMO;2001;TOMMO;730;505;6;6;8;8;57;85;420;43;127;503;7;19;15;16;112;5;100;210;131;Sem 2 2024
151;SULAWESI BARAT;MAMUJU;TOMMO;2002;CAMPALOGA;616;462;13;38;38;26;92;207;255;36;87;461;4;120;64;13;113;5;147;229;131;Sem 2 2024
152;SULAWESI BARAT;MAMUJU;TOMMO;2003;BUANA SAKTI;490;308;8;14;17;13;34;86;222;29;70;306;2;55;24;9;54;0;55;101;50;Sem 2 2024
153;SULAWESI BARAT;MAMUJU;TOMMO;2004;TAMEMONGGA;351;295;4;26;25;15;31;101;194;0;47;293;0;78;33;3;68;0;81;127;45;Sem 2 2024
154;SULAWESI BARAT;MAMUJU;TOMMO;2005;TAMEJARRA;496;361;13;11;10;9;67;110;251;43;85;355;17;31;11;11;83;5;132;178;166;Sem 2 2024
155;SULAWESI BARAT;MAMUJU;TOMMO;2006;RANTEMARIO;314;224;2;3;3;1;2;11;213;18;56;224;2;1;2;2;41;2;63;88;45;Sem 2 2024
156;SULAWESI BARAT;MAMUJU;TOMMO;2007;MALINO;160;113;4;6;9;6;11;36;77;13;27;112;3;13;17;5;26;1;31;50;28;Sem 2 2024
157;SULAWESI BARAT;MAMUJU;TOMMO;2008;KAKULLASANG;747;549;38;64;74;44;60;280;269;21;88;547;7;226;63;5;146;2;195;285;145;Sem 2 2024
158;SULAWESI BARAT;MAMUJU;TOMMO;2009;LELING;253;195;2;1;4;4;19;30;165;21;50;194;5;1;16;7;52;1;39;83;33;Sem 2 2024
159;SULAWESI BARAT;MAMUJU;TOMMO;2010;KALEPU;244;164;4;1;0;3;14;22;142;19;43;164;3;3;4;8;31;2;32;64;57;Sem 2 2024
160;SULAWESI BARAT;MAMUJU;TOMMO;2011;SANDANA;224;209;20;17;14;13;25;89;120;24;50;208;1;56;36;4;59;2;65;102;56;Sem 2 2024
161;SULAWESI BARAT;MAMUJU;TOMMO;2012;LELING BARAT;347;285;9;14;10;6;23;62;223;22;63;280;4;19;29;6;59;3;86;130;55;Sem 2 2024
162;SULAWESI BARAT;MAMUJU;TOMMO;2013;LELING UTARA;349;314;41;32;21;18;45;157;157;42;89;310;0;82;97;1;86;2;94;156;32;Sem 2 2024
163;SULAWESI BARAT;MAMUJU;TOMMO;2014;SALUDENGEN;290;200;50;25;11;9;21;116;84;19;43;200;0;62;92;3;44;2;80;101;56;Sem 2 2024
164;SULAWESI BARAT;MAJENE;BANGGAE;1001;BANGGAE;1238;627;0;3;7;4;66;80;547;52;141;626;1;0;14;2;153;9;211;307;193;Sem 2 2024
165;SULAWESI BARAT;MAJENE;BANGGAE;1003;BARU;1682;1044;56;55;44;34;289;478;566;140;281;1039;20;9;295;23;265;16;367;529;512;Sem 2 2024
166;SULAWESI BARAT;MAJENE;BANGGAE;1007;PANGALI ALI;2765;1667;29;62;36;29;151;307;1360;237;450;1663;5;9;174;27;388;40;605;831;432;Sem 2 2024
167;SULAWESI BARAT;MAJENE;BANGGAE;1009;TOTOLI;1467;969;40;37;41;25;159;302;667;144;300;967;24;2;105;31;222;23;397;527;487;Sem 2 2024
168;SULAWESI BARAT;MAJENE;BANGGAE;1010;RANGAS;2015;1421;35;70;49;31;237;422;999;180;460;1409;6;3;302;17;356;31;640;798;346;Sem 2 2024
169;SULAWESI BARAT;MAJENE;BANGGAE;1013;GALUNG;1055;620;8;2;11;6;190;217;403;89;174;620;11;6;54;11;165;19;249;340;372;Sem 2 2024
170;SULAWESI BARAT;MAJENE;BANGGAE;2011;PALIPI SOREANG;616;422;2;1;2;2;100;107;315;57;135;417;1;3;73;5;105;13;166;213;117;Sem 2 2024
171;SULAWESI BARAT;MAJENE;BANGGAE;2012;PAMBOBORANG;636;419;26;27;10;3;32;98;321;58;120;414;2;9;44;10;92;12;173;230;129;Sem 2 2024
172;SULAWESI BARAT;MAJENE;MALUNDA;1001;MALUNDA;715;435;17;23;13;14;100;167;268;63;94;433;6;3;20;6;111;13;187;243;283;Sem 2 2024
173;SULAWESI BARAT;MAJENE;MALUNDA;1015;LAMUNGANG BATU;505;327;13;11;12;5;98;139;188;38;99;326;2;44;55;5;87;3;154;189;157;Sem 2 2024
174;SULAWESI BARAT;MAJENE;MALUNDA;2002;BAMBANGAN;334;326;5;8;4;1;128;146;180;46;136;313;4;14;116;11;64;13;132;168;82;Sem 2 2024
175;SULAWESI BARAT;MAJENE;MALUNDA;2004;LOMBANG;226;160;9;17;18;11;25;80;80;15;43;159;1;31;52;2;32;2;56;71;47;Sem 2 2024
176;SULAWESI BARAT;MAJENE;MALUNDA;2005;LOMBONG;655;405;2;4;1;2;106;115;290;56;133;405;5;0;37;9;80;6;188;227;167;Sem 2 2024
177;SULAWESI BARAT;MAJENE;MALUNDA;2006;MEKKATTA;618;425;3;1;0;0;154;158;267;58;125;423;7;0;87;8;88;11;169;220;213;Sem 2 2024
178;SULAWESI BARAT;MAJENE;MALUNDA;2010;MALIAYA;483;317;17;9;12;18;32;88;229;38;98;317;0;1;23;5;80;9;143;186;127;Sem 2 2024
179;SULAWESI BARAT;MAJENE;MALUNDA;2011;LOMBANG TIMUR;289;203;0;0;0;0;15;15;188;21;55;202;6;0;6;3;35;3;58;84;36;Sem 2 2024
180;SULAWESI BARAT;MAJENE;MALUNDA;2012;SALUTAHONGAN;262;204;54;14;6;8;26;108;96;35;83;202;4;3;90;9;37;7;115;132;62;Sem 2 2024
181;SULAWESI BARAT;MAJENE;MALUNDA;2013;LOMBONG TIMUR;324;217;32;30;22;10;61;155;62;38;65;214;4;35;110;2;44;4;92;108;112;Sem 2 2024
182;SULAWESI BARAT;MAJENE;MALUNDA;2014;MEKKATTA SELATAN;284;208;8;10;7;4;28;57;151;37;84;208;3;3;40;8;45;6;94;117;45;Sem 2 2024
183;SULAWESI BARAT;MAJENE;MALUNDA;2016;KAYUANGIN;459;302;6;14;14;6;43;83;219;36;99;300;4;7;54;5;56;4;116;141;95;Sem 2 2024
184;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1001;BAURUNG;1393;903;11;21;24;16;96;168;735;107;266;900;1;0;84;20;219;15;345;461;264;Sem 2 2024
185;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1002;BARUGA;524;291;17;9;10;2;38;76;215;41;72;291;6;18;40;1;73;6;118;157;87;Sem 2 2024
186;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1003;BARUGA DHUA;567;302;4;4;8;3;41;60;242;55;99;301;13;3;10;5;78;8;114;157;116;Sem 2 2024
187;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1004;LABUANG;1312;645;3;8;5;9;142;167;478;60;141;640;13;1;44;1;176;15;198;310;315;Sem 2 2024
188;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1005;TANDE;449;197;5;9;3;4;10;31;166;23;44;197;9;7;1;0;52;2;87;111;62;Sem 2 2024
189;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1006;LEMBANG;1778;1196;10;14;8;15;196;243;953;134;348;1184;26;8;45;19;299;21;425;617;489;Sem 2 2024
190;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1007;LABUANG UTARA;1280;707;4;4;10;11;91;120;587;70;182;705;1;2;28;6;184;11;273;383;244;Sem 2 2024
191;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;1008;TANDE TIMUR;606;338;10;6;5;2;92;115;223;47;95;337;3;0;12;4;87;7;127;185;223;Sem 2 2024
192;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;2009;BUTTU BARUGA;259;176;9;7;3;5;21;45;131;32;47;175;9;0;31;1;38;2;51;71;54;Sem 2 2024
193;SULAWESI BARAT;MAJENE;PAMBOANG;1001;LALAMPANUA;515;268;4;5;4;4;26;43;225;34;74;266;4;0;12;2;75;3;98;150;82;Sem 2 2024
194;SULAWESI BARAT;MAJENE;PAMBOANG;1002;SIRINDU;462;246;1;1;1;0;41;44;202;43;75;245;0;0;16;0;63;2;115;141;72;Sem 2 2024
195;SULAWESI BARAT;MAJENE;PAMBOANG;2003;ADOLANG;299;172;11;2;2;0;45;60;112;21;44;172;6;29;15;0;34;8;76;94;63;Sem 2 2024
196;SULAWESI BARAT;MAJENE;PAMBOANG;2004;BABABULO;484;333;15;11;4;4;23;57;276;74;106;332;6;1;3;4;83;8;149;185;105;Sem 2 2024
197;SULAWESI BARAT;MAJENE;PAMBOANG;2005;BONDE;620;383;21;11;9;4;66;111;272;57;92;382;20;3;62;7;76;7;185;232;104;Sem 2 2024
198;SULAWESI BARAT;MAJENE;PAMBOANG;2006;BETTENG;270;174;7;7;5;5;7;31;143;42;58;172;1;3;5;2;39;7;88;104;53;Sem 2 2024
199;SULAWESI BARAT;MAJENE;PAMBOANG;2007;SIMBANG;224;126;6;7;3;6;14;36;90;27;29;126;0;7;4;1;23;3;54;65;61;Sem 2 2024
200;SULAWESI BARAT;MAJENE;PAMBOANG;2008;BONDE UTARA;981;696;6;11;9;4;183;213;483;143;195;694;31;0;82;37;130;11;266;355;326;Sem 2 2024
201;SULAWESI BARAT;MAJENE;PAMBOANG;2009;BABABULO UTARA;334;206;4;2;0;0;12;18;188;28;57;204;1;0;4;0;62;3;100;126;49;Sem 2 2024
202;SULAWESI BARAT;MAJENE;PAMBOANG;2010;BUTTU PAMBOANG;253;159;4;3;3;2;6;18;141;31;53;159;1;1;2;3;37;1;59;79;45;Sem 2 2024
203;SULAWESI BARAT;MAJENE;PAMBOANG;2011;BANUA ADOLANG;240;167;34;11;3;6;6;60;107;34;68;166;0;5;39;5;31;8;103;117;46;Sem 2 2024
204;SULAWESI BARAT;MAJENE;PAMBOANG;2012;ADOLANG DHUA;257;164;24;9;5;2;9;49;115;27;43;163;3;3;25;0;37;3;79;95;56;Sem 2 2024
205;SULAWESI BARAT;MAJENE;PAMBOANG;2013;TINAMBUNG;690;388;11;5;4;2;97;119;269;66;107;386;19;7;20;8;101;9;150;210;207;Sem 2 2024
206;SULAWESI BARAT;MAJENE;PAMBOANG;2014;PESULOANG;282;173;1;0;1;3;17;22;151;34;57;173;7;0;7;3;44;3;80;104;39;Sem 2 2024
207;SULAWESI BARAT;MAJENE;PAMBOANG;2015;BALOMBONG;365;181;12;11;5;3;15;46;135;30;60;181;1;4;26;1;43;7;70;97;53;Sem 2 2024
208;SULAWESI BARAT;MAJENE;SENDANA;1001;MOSSO;1202;703;8;14;10;5;141;178;525;118;165;699;17;1;45;15;146;18;292;363;359;Sem 2 2024
209;SULAWESI BARAT;MAJENE;SENDANA;1002;MOSSO DHUA;447;238;16;5;5;9;29;64;174;30;72;237;0;0;15;1;70;4;122;145;109;Sem 2 2024
210;SULAWESI BARAT;MAJENE;SENDANA;2004;TOTOLISI SENDANA;458;270;3;3;7;6;40;59;211;27;79;269;1;0;2;4;65;2;132;159;128;Sem 2 2024
211;SULAWESI BARAT;MAJENE;SENDANA;2007;TALLUBANUA;557;388;46;18;13;6;67;150;238;87;142;385;7;2;36;13;77;12;180;213;242;Sem 2 2024
212;SULAWESI BARAT;MAJENE;SENDANA;2015;LALATEDZONG;316;180;1;2;2;3;21;29;151;25;44;180;2;2;8;4;54;4;74;99;68;Sem 2 2024
213;SULAWESI BARAT;MAJENE;SENDANA;2016;BINANGA;203;111;2;1;0;0;3;6;105;16;31;111;1;0;0;1;21;2;43;51;22;Sem 2 2024
214;SULAWESI BARAT;MAJENE;SENDANA;2017;PUTTADA;206;120;4;3;2;0;10;19;101;18;33;119;1;1;8;0;29;1;46;61;38;Sem 2 2024
215;SULAWESI BARAT;MAJENE;SENDANA;2018;PAMINGGALAN;148;101;18;13;12;7;4;54;47;12;25;101;0;2;44;0;26;2;47;59;36;Sem 2 2024
216;SULAWESI BARAT;MAJENE;SENDANA;2019;LEPPANGANG;192;126;2;5;3;1;13;24;102;14;27;126;2;2;6;3;24;2;48;67;56;Sem 2 2024
217;SULAWESI BARAT;MAJENE;SENDANA;2020;PUNDAU;178;113;2;4;6;1;9;22;91;14;51;112;1;0;11;4;18;5;46;55;35;Sem 2 2024
218;SULAWESI BARAT;MAJENE;SENDANA;2021;SENDANA;258;152;1;0;1;2;7;11;141;17;44;152;0;0;2;0;31;3;64;76;44;Sem 2 2024
219;SULAWESI BARAT;MAJENE;SENDANA;2022;BANUA SENDANA;401;231;0;4;3;4;209;220;11;37;66;228;6;0;211;3;51;9;111;135;127;Sem 2 2024
220;SULAWESI BARAT;MAJENE;SENDANA;2023;TALLUBANUA UTARA;455;289;0;0;2;3;23;28;261;39;98;289;1;5;5;0;70;8;140;170;71;Sem 2 2024
221;SULAWESI BARAT;MAJENE;SENDANA;2024;LIMBORO RAMBU-RAMBU;213;152;8;4;1;0;9;22;130;28;49;152;9;6;7;1;29;3;82;90;35;Sem 2 2024
222;SULAWESI BARAT;MAJENE;SENDANA;2025;LIMBUA;572;272;4;3;0;1;31;39;233;34;72;272;0;1;4;0;64;6;119;148;118;Sem 2 2024
223;SULAWESI BARAT;MAJENE;SENDANA;2026;BUKIT SAMANG;358;214;14;10;2;2;28;56;158;28;64;213;10;3;6;5;53;5;110;136;84;Sem 2 2024
224;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;2001;SEPPONG;400;226;10;7;4;8;16;45;181;30;59;226;10;14;18;2;56;6;106;133;57;Sem 2 2024
225;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;2002;TAMMERODO;614;355;1;2;2;2;134;141;214;69;81;354;8;0;64;5;89;12;139;189;203;Sem 2 2024
226;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;2003;ULIDANG;515;301;15;11;5;7;48;86;215;30;78;299;10;28;51;1;79;7;139;174;91;Sem 2 2024
227;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;2004;TALLAMBALAO;518;323;15;22;19;16;41;113;210;27;95;321;11;30;70;3;89;4;132;179;77;Sem 2 2024
228;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;2005;TAMMERODO UTARA;573;352;1;1;0;3;80;85;267;68;87;351;13;5;32;3;75;7;122;167;157;Sem 2 2024
229;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;2006;MANYAMBA;363;247;27;30;12;15;32;116;131;20;61;245;7;89;60;5;56;3;106;134;50;Sem 2 2024
230;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;2007;AWO;531;347;25;11;11;2;186;235;112;49;97;345;16;84;197;15;89;2;138;194;209;Sem 2 2024
231;SULAWESI BARAT;MAJENE;TUBO SENDANA;2001;ONANG;870;595;53;61;32;22;38;206;389;52;163;591;4;14;141;6;118;8;302;344;161;Sem 2 2024
232;SULAWESI BARAT;MAJENE;TUBO SENDANA;2002;TUBO;265;150;13;8;6;4;10;41;109;8;52;150;0;1;24;0;43;5;80;100;40;Sem 2 2024
233;SULAWESI BARAT;MAJENE;TUBO SENDANA;2003;ONANG UTARA;292;165;9;12;4;4;12;41;124;22;48;165;4;0;18;0;33;6;71;92;52;Sem 2 2024
234;SULAWESI BARAT;MAJENE;TUBO SENDANA;2004;TUBO SELATAN;190;132;5;0;1;1;8;15;117;26;44;130;6;0;6;1;29;6;66;81;29;Sem 2 2024
235;SULAWESI BARAT;MAJENE;TUBO SENDANA;2005;BONDE BONDE;258;158;1;1;0;0;3;5;153;17;41;158;5;2;0;1;33;2;65;79;39;Sem 2 2024
236;SULAWESI BARAT;MAJENE;TUBO SENDANA;2006;TUBO TENGAH;253;140;6;7;5;1;8;27;113;19;28;140;4;4;16;1;34;3;62;78;34;Sem 2 2024
237;SULAWESI BARAT;MAJENE;TUBO SENDANA;2007;TUBO POANG;193;124;5;2;3;2;9;21;103;15;54;123;2;6;8;0;31;0;78;90;24;Sem 2 2024
238;SULAWESI BARAT;MAJENE;ULUMANDA;2001;KABIRAAN;332;229;12;19;12;3;9;55;174;16;49;228;0;22;26;1;57;3;77;104;53;Sem 2 2024
239;SULAWESI BARAT;MAJENE;ULUMANDA;2002;SAMBABO;236;152;9;3;9;3;6;30;122;7;44;150;3;12;9;2;38;3;63;80;37;Sem 2 2024
240;SULAWESI BARAT;MAJENE;ULUMANDA;2003;TANDEALLO;353;227;14;17;6;2;13;52;175;7;48;222;0;24;20;2;58;0;76;111;60;Sem 2 2024
241;SULAWESI BARAT;MAJENE;ULUMANDA;2004;ULUMANDA;324;253;12;4;2;3;5;26;227;29;66;252;11;17;12;4;64;3;91;118;64;Sem 2 2024
242;SULAWESI BARAT;MAJENE;ULUMANDA;2005;SALUTAMBUNG;354;224;10;6;7;5;19;47;177;23;50;221;0;9;19;2;50;2;87;112;69;Sem 2 2024
243;SULAWESI BARAT;MAJENE;ULUMANDA;2006;POPENGA;249;162;10;3;4;2;1;20;142;2;34;162;0;8;18;1;37;1;68;79;32;Sem 2 2024
244;SULAWESI BARAT;MAJENE;ULUMANDA;2007;SULAI;274;188;1;2;1;2;9;15;173;24;66;186;7;1;5;4;35;4;83;98;39;Sem 2 2024
245;SULAWESI BARAT;MAJENE;ULUMANDA;2008;PANGGALO;342;232;29;14;11;2;8;64;168;4;32;230;0;34;35;7;59;1;55;104;99;Sem 2 2024
246;SULAWESI BARAT;POLEWALI MANDAR;ALLU;1009;PETOOSANG;490;235;28;19;13;16;81;157;78;32;73;229;2;68;82;6;43;7;86;117;151;Sem 2 2024
247;SULAWESI BARAT;POLEWALI MANDAR;ALLU;2002;MOMBI;668;289;21;20;10;12;28;91;198;33;87;288;2;34;35;7;65;8;114;159;108;Sem 2 2024
248;SULAWESI BARAT;POLEWALI MANDAR;ALLU;2003;KALUMAMMANG;436;232;46;13;11;4;26;100;132;28;56;232;3;0;44;9;47;4;95;124;130;Sem 2 2024
249;SULAWESI BARAT;POLEWALI MANDAR;ALLU;2004;PAO-PAO;630;380;25;12;8;6;15;66;314;26;92;379;7;13;50;6;92;6;134;185;100;Sem 2 2024
250;SULAWESI BARAT;POLEWALI MANDAR;ALLU;2005;PUPPU URING;464;313;32;7;6;3;10;58;255;24;123;309;7;22;17;14;61;5;153;186;75;Sem 2 2024
251;SULAWESI BARAT;POLEWALI MANDAR;ALLU;2006;SARAGIAN;483;262;48;14;8;4;16;90;172;44;68;261;4;3;26;3;62;5;100;131;143;Sem 2 2024
252;SULAWESI BARAT;POLEWALI MANDAR;ALLU;2007;SAYOANG;184;101;3;2;4;2;5;16;85;13;22;101;5;2;5;2;22;5;44;55;33;Sem 2 2024
253;SULAWESI BARAT;POLEWALI MANDAR;ALLU;2008;ALU;427;249;43;17;9;7;18;94;155;23;54;247;0;15;50;2;56;3;106;131;98;Sem 2 2024
254;SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;1001;ANREAPI;373;228;3;6;2;2;5;18;210;35;63;227;14;4;2;0;59;2;70;109;36;Sem 2 2024
255;SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;2002;DUAMPANUA;853;561;17;9;10;6;10;52;509;58;137;556;1;6;3;9;125;5;174;261;147;Sem 2 2024
256;SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;2003;KELAPA DUA;627;387;13;12;14;11;10;60;327;23;79;386;1;12;20;5;108;2;110;191;89;Sem 2 2024
257;SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;2004;PAPPANDANGAN;500;320;14;18;26;12;9;79;241;32;66;319;3;41;38;4;64;0;73;117;45;Sem 2 2024
258;SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;2005;KUNYI;494;299;38;33;30;16;17;134;165;23;54;298;0;109;122;0;80;1;95;144;50;Sem 2 2024
259;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;1002;BALANIPA;872;495;84;37;34;21;56;232;263;77;133;493;6;25;138;15;104;17;180;254;237;Sem 2 2024
260;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;2001;TAMMAJARRA;494;297;33;15;7;4;12;71;226;38;104;294;5;7;19;6;67;5;130;174;91;Sem 2 2024
261;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;2003;TAMANGGALLE;654;379;4;2;1;3;148;158;221;54;113;375;7;1;42;13;84;8;149;203;245;Sem 2 2024
262;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;2004;MOSSO;227;119;6;3;7;3;0;19;100;8;29;119;1;1;11;1;21;1;24;42;29;Sem 2 2024
263;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;2005;GALUNG TULUK;937;548;182;49;42;15;51;339;209;42;161;547;0;196;76;2;117;12;229;288;296;Sem 2 2024
264;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;2006;SABANG SUBIK;864;468;20;12;12;12;31;87;381;54;134;465;0;10;30;6;112;10;191;254;153;Sem 2 2024
265;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;2007;PAMBUSUANG;1707;944;6;6;7;2;240;261;683;184;257;937;17;11;26;22;202;23;356;487;513;Sem 2 2024
266;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;2008;BALA;1494;903;45;22;20;15;192;294;609;160;246;903;17;9;34;23;195;15;284;426;575;Sem 2 2024
267;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;2009;LAMBANAN;174;67;4;4;0;2;5;15;52;9;23;67;0;4;1;0;15;4;24;33;37;Sem 2 2024
268;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;2010;LEGO;382;220;23;15;3;6;18;65;155;33;65;219;3;9;22;4;48;3;72;105;109;Sem 2 2024
269;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;2011;PALLIS;186;102;18;11;10;8;10;57;45;8;15;102;1;30;10;1;34;0;38;57;69;Sem 2 2024
270;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;1005;AMASSANGAN;1059;689;50;50;29;17;97;243;446;86;179;682;14;3;110;10;165;9;234;334;358;Sem 2 2024
271;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;2001;TONYAMAN;1398;868;43;46;42;21;96;248;620;92;219;859;2;21;159;11;196;11;317;431;231;Sem 2 2024
272;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;2002;KUAJANG;1106;742;16;26;25;23;91;181;561;108;176;741;21;0;34;9;177;20;270;370;357;Sem 2 2024
273;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;2003;PAKU;736;391;13;18;19;11;41;102;289;17;76;389;3;7;27;2;92;0;143;197;169;Sem 2 2024
274;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;2004;MIRRING;863;504;19;19;24;9;33;104;400;31;119;502;18;2;11;2;117;5;187;254;211;Sem 2 2024
275;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;2006;BATETANGNGA;1873;1177;47;41;52;35;146;321;856;75;235;1171;32;26;143;12;290;13;367;549;523;Sem 2 2024
276;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;2007;MAMMI;501;396;11;9;7;5;33;65;331;73;117;393;19;14;28;5;95;8;136;191;96;Sem 2 2024
277;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;2008;KALEOK;343;225;16;5;6;1;3;31;194;14;47;224;0;13;15;1;61;0;76;108;44;Sem 2 2024
278;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;2009;AMOLA;469;300;17;8;12;8;18;63;237;13;44;300;0;5;10;0;77;1;89;139;119;Sem 2 2024
279;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;2010;REA;858;495;27;17;12;13;25;94;401;78;127;492;3;19;38;4;98;8;172;229;138;Sem 2 2024
280;SULAWESI BARAT;POLEWALI MANDAR;BULO;2001;BULO;250;157;2;1;2;1;7;13;144;12;44;154;19;0;7;5;33;1;28;54;24;Sem 2 2024
281;SULAWESI BARAT;POLEWALI MANDAR;BULO;2002;PULLIWA;760;506;49;37;27;16;57;186;320;31;122;504;20;49;110;5;123;5;125;212;156;Sem 2 2024
282;SULAWESI BARAT;POLEWALI MANDAR;BULO;2003;PATAMBANUA;225;167;15;1;0;0;1;17;150;14;48;166;0;2;12;0;41;2;62;79;13;Sem 2 2024
283;SULAWESI BARAT;POLEWALI MANDAR;BULO;2004;KAROMBANG;339;238;21;3;0;0;53;77;161;28;46;233;9;11;66;5;47;1;63;95;44;Sem 2 2024
284;SULAWESI BARAT;POLEWALI MANDAR;BULO;2005;DAALA TIMUR;227;168;5;2;0;0;1;8;160;19;27;167;9;0;7;2;40;1;60;78;11;Sem 2 2024
285;SULAWESI BARAT;POLEWALI MANDAR;BULO;2006;LENGGO;166;128;3;2;2;0;19;26;102;1;22;127;0;20;4;1;17;0;37;49;19;Sem 2 2024
286;SULAWESI BARAT;POLEWALI MANDAR;BULO;2007;SABURA;167;120;3;5;1;0;7;16;104;3;18;118;6;6;9;4;19;0;24;42;25;Sem 2 2024
287;SULAWESI BARAT;POLEWALI MANDAR;BULO;2008;SEPPORRAKI;247;163;4;0;0;1;7;12;151;18;32;163;11;0;0;6;32;1;25;54;43;Sem 2 2024
288;SULAWESI BARAT;POLEWALI MANDAR;BULO;2009;IHING;261;198;3;2;5;2;1;13;185;26;30;197;18;0;1;4;49;0;37;80;46;Sem 2 2024
